;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1;
S18;Resting open;0.02801387;0.039960461;0.024140591;0.029599731;0.027094558;0.040961194;0.023983359;0.030963873;0.028222997;0.043154082;0.027003983;0.031842669;0.028687619;0.037597913;0.023729757;0.028588372;0.026483485;0.039960697;0.027748096;0.030299228;0.0207769;0.035334621;0.03044365;0.030492408;0.021524339;0.034163222;0.03242016;0.02958305;2.97421;5.59916;-4.38414;0.648564;
S19;Resting open;0.024406752;0.03274873;0.033580054;0.023925256;0.025270398;0.034631109;0.037678568;0.025485441;0.024771219;0.039536291;0.045238444;0.03768143;0.024439921;0.033883369;0.032063902;0.022667973;0.020637383;0.041922712;0.03957643;0.029002893;0.025412273;0.035679465;0.044395336;0.02883673;0.027695793;0.033926654;0.031911257;0.021340495;2.34049;4.26353;-1.93739;-1.23361;
S20;Resting open;0.038188511;0.040902055;0.020254571;0.025282718;0.037818719;0.042724381;0.021777587;0.025622764;0.0399765;0.043067883;0.024594265;0.028588151;0.03952986;0.040058771;0.018691083;0.02623619;0.038202631;0.038315823;0.018295671;0.025831824;0.034005941;0.035367694;0.02105933;0.021115731;0.034848423;0.032750686;0.016865355;0.020858977;9.66845;5.72795;-5.8354;-2.13129;
S22;Resting open;0.032799374;0.02294762;0.017165155;0.052180723;0.033127369;0.022286442;0.017073571;0.053473102;0.030504332;0.021785156;0.017064858;0.052172965;0.030808812;0.022135116;0.017861011;0.051149079;0.030928856;0.022881309;0.016649755;0.047946824;0.028783501;0.022312785;0.013997614;0.050279001;0.027307111;0.021658992;0.01546988;0.050551693;5.71409;-2.98868;-6.66823;11.2278;
S24;Resting open;0.033494635;0.029619923;0.037587258;0.017238157;0.032714208;0.030658999;0.037255054;0.018637408;0.034022714;0.031781965;0.046944522;0.024138498;0.032073705;0.030218616;0.043042444;0.018064086;0.031966745;0.032562143;0.047533259;0.021483154;0.031430303;0.031117417;0.040381281;0.019808679;0.033377926;0.031364632;0.050441137;0.022602852;6.93905;1.65506;-0.71017;-4.42552;
S2;Resting;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;-5.77502;-1.71228;6.53755;-4.63538;
S3;Resting;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-2.35918;-4.91476;-1.55682;13.6263;
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;-7.54061;-9.34956;4.94209;8.21897;
S6;Resting;0.008546755;0.014735703;0.070658927;0.022947303;0.008341649;0.01488573;0.076191851;0.026279047;0.008179694;0.015166092;0.085882618;0.037296272;0.007656328;0.014504116;0.092735693;0.026191696;0.007088038;0.01304691;0.128765196;0.033214702;0.007936909;0.013910443;0.067897938;0.018487639;0.006340676;0.012510271;0.073520257;0.01525102;-7.41436;-7.34564;8.75955;-1.98326;
S7;Resting;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;3.51038;2.5494;-0.764178;-2.81208;
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;-8.61644;-8.132;12.2592;-8.01999;
S11;Resting;0.006330313;0.007662774;0.08675947;0.010578864;0.006459375;0.008060679;0.100028029;0.010762254;0.005843722;0.008324718;0.109984335;0.011396888;0.006151853;0.007490167;0.094779232;0.010886475;0.005897108;0.008100092;0.116393528;0.012883236;0.005448804;0.008125243;0.1476366;0.011246316;0.005642022;0.00727482;0.125963605;0.011520542;-8.40706;-10.6197;14.3978;-8.8194;
S13;Resting;0.026891663;0.029126025;0.024340954;0.05017243;0.026602498;0.027196294;0.024619452;0.050435692;0.027297814;0.027050785;0.025723635;0.055336291;0.025655207;0.028693453;0.025280203;0.05647977;0.026172339;0.026965938;0.023392709;0.055121543;0.026571927;0.023732481;0.019988984;0.040444696;0.0260972;0.025795052;0.021377183;0.046765569;3.33515;-0.552231;-5.04201;10.8325;
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;-3.34623;-5.46946;7.40169;-4.5555;
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;-9.27427;-8.97184;12.2798;-6.77109;
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-2.62973;-4.24909;6.02889;-3.62265;
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-1.79326;3.88677;-1.58815;3.14594;
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;-4.10203;1.55083;5.56841;-5.52777;
S20;Resting;0.014075598;0.014898226;0.096791014;0.018498075;0.014379626;0.011433213;0.096791832;0.019377205;0.005991989;0.007883702;0.107346843;0.020547934;0.004475124;0.006711701;0.09840878;0.018274785;0.004089815;0.00634337;0.110270059;0.01960604;0.005910556;0.006934678;0.108614484;0.017810646;0.003560909;0.00500293;0.096491001;0.014432585;-7.52309;-10.3802;12.7273;-5.32491;
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-4.23106;-5.98105;-0.973499;12.6164;
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-7.29336;-10.5478;14.6282;-10.7326;
S2;Acuity left;0.017969245;0.037875219;0.029456162;0.045827741;0.017912715;0.037742025;0.029606564;0.046232296;0.018648657;0.037077284;0.034480955;0.060892067;0.018483812;0.036658743;0.02553977;0.037089212;0.017530531;0.034454835;0.024373537;0.041139848;0.017484528;0.034392684;0.026618395;0.036612738;0.022319372;0.033621713;0.022088423;0.027259194;-1.11666;4.19349;-4.14484;6.24346;
S3;Acuity left;0.055863553;0.038600556;0.01322072;0.019126021;0.056988852;0.036934008;0.014254229;0.019576939;0.054073483;0.03791598;0.015306559;0.021186973;0.060324824;0.03786704;0.012618039;0.018736869;0.054764808;0.036867189;0.0124578;0.018663178;0.050822017;0.035186197;0.012268158;0.019248815;0.050878192;0.034186676;0.011139375;0.017828859;19.631;4.63119;-7.47095;-4.88576;
S5;Acuity left;0.01880467;0.034754991;0.060206705;0.022474624;0.019012943;0.025994578;0.069982018;0.023757216;0.018111213;0.024085953;0.078699497;0.022923209;0.018025827;0.038860506;0.058082936;0.021465144;0.017690726;0.028850646;0.053629616;0.021150778;0.022921931;0.024511794;0.061762292;0.01927304;0.016638879;0.022242243;0.047078206;0.02011392;-1.12339;0.233421;3.61055;-3.6603;
S6;Acuity left;0.028735818;0.048825352;0.026789025;0.030830557;0.02886404;0.047314846;0.028083352;0.033829509;0.031094302;0.045543149;0.032425348;0.038654271;0.029711614;0.043943882;0.022599355;0.029192346;0.025247161;0.036952055;0.020468107;0.025419215;0.024047753;0.035694136;0.025736656;0.028350416;0.024070456;0.031301426;0.021395231;0.02345093;3.86485;6.87203;-4.63761;0.393373;
S7;Acuity left;0.03271234;0.051015038;0.020477852;0.02609872;0.034893811;0.058015661;0.023095543;0.030785488;0.030005991;0.056721306;0.023595293;0.033459443;0.030791385;0.047153895;0.019662214;0.023699142;0.03130025;0.044569343;0.019187145;0.021590283;0.030641241;0.049243378;0.019744711;0.022762539;0.030034266;0.041408358;0.016636296;0.01822915;6.23313;11.3106;-5.78924;-1.98623;
S10;Acuity left;0.036734104;0.041904235;0.01971053;0.027910849;0.036145958;0.038924046;0.019536338;0.025837344;0.03509436;0.038017591;0.020149488;0.025435505;0.033405157;0.043460761;0.020011722;0.029671224;0.031421465;0.045334865;0.020985815;0.031354629;0.033509857;0.038048064;0.019411597;0.022284218;0.030177341;0.038928501;0.019064107;0.024388405;7.51781;6.74707;-5.93018;-1.06458;
S11;Acuity left;0.032510664;0.044549876;0.029808745;0.024151838;0.032519942;0.042970798;0.028095301;0.023608548;0.030454843;0.042465146;0.027108368;0.02196894;0.031113148;0.043001686;0.030997721;0.025757481;0.032810471;0.040523835;0.032323787;0.025864175;0.029074779;0.040359534;0.028832219;0.020681105;0.030374547;0.04076299;0.031770453;0.023487849;6.10955;7.44476;-3.64766;-2.57231;
S13;Acuity left;0.031302127;0.059686359;0.020023024;0.037049187;0.025771222;0.049877228;0.018131475;0.033262616;0.023016022;0.041721698;0.017356609;0.03239036;0.028220349;0.051263332;0.019657612;0.036553677;0.025625634;0.041926502;0.015889275;0.040092997;0.020174718;0.036965987;0.016130597;0.028252892;0.024943964;0.041110084;0.017604799;0.033145578;2.90373;9.48598;-6.3322;2.82542;
S14;Acuity left;0.035548669;0.028025798;0.032395418;0.03171409;0.025389556;0.02555774;0.029710506;0.037263037;0.031729008;0.029186898;0.031332015;0.06522175;0.030108905;0.029422251;0.036620982;0.030811347;0.030627694;0.028644558;0.037439444;0.032623216;0.027211641;0.026539489;0.032436758;0.028001016;0.028382509;0.026637058;0.035842687;0.025526745;5.27681;-0.137252;-2.79141;2.77265;
S15;Acuity left;0.017855477;0.04943835;0.036481304;0.029151056;0.017508755;0.049959327;0.041715375;0.032686063;0.014557721;0.042030653;0.047289428;0.032095944;0.016910154;0.045392795;0.034595754;0.026756963;0.015596256;0.03800609;0.042203873;0.025081067;0.012822331;0.033536235;0.041902673;0.027396672;0.01443069;0.033743591;0.03698042;0.025777426;-2.81874;7.12892;-1.3731;-0.262762;
S16;Acuity left;0.032769231;0.041298266;0.025744945;0.037933208;0.028775813;0.037292355;0.027195008;0.049436024;0.028946707;0.038653897;0.022865384;0.043358706;0.028373631;0.038990726;0.023358445;0.034694266;0.025098196;0.035017122;0.018304843;0.036426721;0.024338853;0.031698161;0.017582814;0.025856341;0.026760389;0.034305209;0.017985929;0.024565228;4.17162;4.58133;-5.34173;3.42768;
S18;Acuity left;0.028239566;0.038238375;0.026892128;0.031802501;0.027587213;0.036400093;0.027527178;0.0320103;0.028984978;0.036886716;0.030197531;0.032487417;0.028325266;0.038082123;0.02683276;0.029773935;0.027246637;0.036375826;0.028317087;0.03006484;0.025463824;0.033647519;0.031046475;0.034876287;0.025216804;0.033216012;0.028889533;0.029661708;3.80821;4.27506;-3.99023;1.3609;
S19;Acuity left;0.02515854;0.051156;0.033333336;0.027316817;0.0232337;0.043818148;0.033017127;0.02771025;0.023469944;0.037411059;0.034057687;0.037110273;0.024552413;0.050008687;0.032264547;0.02623632;0.023404436;0.041825912;0.031547551;0.026882026;0.022815267;0.044009157;0.038504281;0.03203117;0.021861376;0.042286028;0.030134604;0.024310078;1.64045;8.69079;-2.86283;-0.211163;
S20;Acuity left;0.043606786;0.052290723;0.025242625;0.023671314;0.043148706;0.047435143;0.026489225;0.024836146;0.042006146;0.039936327;0.026286972;0.02494379;0.040083242;0.047181503;0.021853084;0.019311243;0.037080884;0.039266681;0.017591497;0.014816279;0.03782153;0.03420673;0.024696799;0.020813353;0.035810448;0.037691249;0.020177929;0.01732816;11.0548;7.63881;-5.10813;-4.05977;
S22;Acuity left;0.037973524;0.056625386;0.02220985;0.024302632;0.038265355;0.051363773;0.019736312;0.025022532;0.036375712;0.038766269;0.016576615;0.02354328;0.036099608;0.05320084;0.020800163;0.023366175;0.034029196;0.04427678;0.015957558;0.022006874;0.031833785;0.046108155;0.01734724;0.022588092;0.030084363;0.051907129;0.020102171;0.022390847;8.1991;11.1665;-6.05477;-2.75259;
S24;Acuity left;0.029998348;0.056554522;0.025008915;0.023143875;0.028839368;0.057552727;0.02417725;0.023782006;0.028251502;0.053365016;0.023813912;0.024237024;0.030001975;0.050222027;0.021960536;0.021686923;0.033046412;0.050667454;0.022913743;0.022226597;0.024782111;0.050083824;0.023666446;0.023507139;0.029521325;0.050408387;0.024070115;0.026422906;4.94721;13.0164;-5.04528;-2.64501;
2S1;Resting open;0.019572718;0.02259626;0.015029844;0.038346311;0.021710677;0.02401542;0.015834651;0.043255094;0.024777;0.022476813;0.015513963;0.047974139;0.019062486;0.01873156;0.014929812;0.041725606;0.020000897;0.016331431;0.015716479;0.052161674;0.028357367;0.032484527;0.018658288;0.051012134;0.027796415;0.029842598;0.019741887;0.054154546;1.35586;-2.12659;-6.7412;8.99757;-0.595106
2S2;Resting open;0.019651014;0.041859721;0.039408156;0.034210142;0.014112183;0.037700109;0.042616974;0.037270617;0.018623891;0.040898527;0.047317375;0.046495985;0.012496424;0.030930854;0.03996728;0.028474793;0.022236679;0.035562269;0.037659276;0.026451621;0.013474724;0.034394761;0.0425418;0.033484949;0.014131346;0.030498944;0.042107051;0.027545866;-2.48319;4.09042;-0.979133;2.03878;4.70334
2S3;Resting open;0.016261565;0.03968091;0.025426589;0.022924665;0.015643973;0.040798405;0.028584242;0.021728668;0.014027833;0.045198106;0.034912186;0.02212278;0.015114246;0.033928588;0.023813663;0.019670804;0.008970794;0.024964876;0.019252819;0.015168513;0.021728453;0.058645386;0.048921461;0.030996405;0.015078254;0.037229167;0.039597608;0.025505959;-3.09713;6.27142;-3.45537;-3.03752;5.11455
2S4;Resting open;0.050538148;0.04387738;0.024410873;0.022009018;0.047118123;0.040204132;0.030347824;0.024019146;0.051890985;0.046322493;0.037856357;0.032198815;0.020675912;0.019046332;0.024285282;0.018214695;0.016731099;0.013869637;0.021738268;0.017686692;0.044402373;0.035489013;0.032398449;0.025371613;0.028351405;0.020614388;0.031794378;0.023502174;9.24407;1.36243;-3.94108;-2.97318;0.473046
2S5;Resting open;0.014422568;0.017188746;0.032576136;0.023591448;0.016359863;0.018792821;0.043997767;0.026000345;0.019390082;0.019931725;0.072438104;0.033732714;0.014800084;0.016776299;0.054319675;0.027404351;0.014551804;0.014682114;0.089808252;0.028752084;0.023576878;0.022598818;0.026884476;0.023924841;0.018617914;0.018065024;0.034948576;0.022117843;-1.91548;-5.12359;0.836206;-1.39244;-2.74327
2S6;Resting open;0.010218472;0.022478012;0.031296361;0.038283584;0.010508049;0.021569327;0.036703965;0.04027116;0.010884776;0.021205784;0.046491504;0.046600149;0.024276406;0.034979142;0.03802692;0.05922471;0.010653172;0.017708262;0.045925425;0.043052939;0.010780806;0.022538972;0.042314672;0.041596607;0.011178303;0.02188872;0.050765362;0.04208634;-4.52556;-2.49713;-1.19019;7.79553;-0.086188
2S7;Resting open;0.036221442;0.024156171;0.019443639;0.02868943;0.028324914;0.02640778;0.021960513;0.03396341;0.037344951;0.026029481;0.023846608;0.038617271;0.043269814;0.022830999;0.016586124;0.024295382;0.032377138;0.017876597;0.012292658;0.018918265;0.056395677;0.034154551;0.021661352;0.029171954;0.042441477;0.02761276;0.017796177;0.023154547;10.7448;-1.24189;-6.08914;-0.543872;0.0616434
2S8;Resting open;0.015073984;0.029521155;0.033509154;0.033198812;0.017245567;0.030352778;0.036776199;0.036099118;0.017372552;0.030020705;0.037060157;0.037167365;0.012653329;0.026333345;0.029649726;0.031814724;0.011742774;0.024390469;0.02664584;0.033951464;0.021555256;0.039108272;0.04447123;0.036787612;0.017662904;0.038861291;0.033459946;0.031536158;-2.58342;1.8334;-2.61147;2.71848;2.71788
2S9;Resting open;0.013544722;0.015839695;0.031215615;0.045268263;0.012397529;0.01608967;0.034236373;0.052248057;0.013030271;0.016826215;0.030783648;0.052728472;0.014215161;0.01735127;0.043415307;0.045093437;0.009193004;0.012204863;0.026097509;0.036628503;0.015334667;0.021992558;0.044128922;0.059397806;0.013749545;0.019094315;0.052544616;0.047873432;-4.33448;-5.72749;-1.97853;9.87283;-3.15772
2S10;Resting open;0.004764411;0.008070747;0.0819907;0.01000202;0.005161523;0.008369977;0.092145221;0.011625084;0.004991264;0.008595427;0.084510666;0.010780328;0.004701669;0.008452676;0.094577605;0.010836483;0.005021386;0.010213419;0.090092608;0.012456748;0.007360845;0.013675796;0.11108972;0.012820084;0.006390823;0.012896137;0.148895004;0.014632284;-8.69286;-9.39533;12.028;-8.50875;-5.7625
2S11;Resting open;0.031037664;0.021963379;0.009985337;0.023493716;0.031825908;0.02380577;0.012101425;0.029384731;0.033163255;0.025564598;0.013265228;0.033605972;0.027544667;0.020538294;0.010103149;0.021357642;0.031079578;0.021285317;0.011834217;0.02924677;0.041211451;0.034153105;0.016482014;0.031631447;0.037339241;0.028687061;0.01569029;0.02913977;7.23149;-1.43191;-7.61999;-0.458525;0.164809
2S12;Resting open;0.017282018;0.019439632;0.027637907;0.031915685;0.018297573;0.021175424;0.031773328;0.033919017;0.015521301;0.019301599;0.032614075;0.038189267;0.017210684;0.01958111;0.031919775;0.035808093;0.018386154;0.019803075;0.027023308;0.055268959;0.023537212;0.024059487;0.032669902;0.026991843;0.022048538;0.024077945;0.028672697;0.028576887;-0.983825;-3.57149;-3.54131;3.24734;-1.14354
2S13;Resting open;0.028271141;0.026132118;0.028182309;0.031646598;0.032149265;0.030446587;0.036630845;0.040288416;0.032193945;0.032934804;0.034904741;0.040716962;0.024739215;0.023226324;0.028013867;0.033281433;0.02135303;0.020270649;0.040493211;0.046411998;0.033051522;0.030436862;0.03502497;0.037448109;0.02963954;0.025346413;0.029964674;0.032403324;4.63128;-0.615597;-2.95216;4.1379;0.453044
2S1;Resting;0.0095048;0.013388345;0.023730115;0.052762467;0.010618192;0.014375138;0.028734727;0.058661413;0.012375611;0.017174891;0.028170596;0.065208764;0.008709237;0.012615887;0.023903141;0.054926087;0.007770837;0.014546873;0.02646135;0.069053086;0.013880204;0.018647268;0.034106151;0.072577332;0.013125448;0.017654987;0.030958361;0.075909372;-5.62318;-6.56236;-4.16455;17.6451;-3.68217
2S2;Resting;0.012160301;0.029193852;0.048515521;0.030950838;0.009121581;0.026012776;0.063955755;0.030446727;0.010438808;0.027801561;0.082782913;0.035560962;0.007890178;0.022869953;0.057525171;0.029453118;0.011567272;0.022517048;0.054968991;0.025311086;0.01076513;0.0235645;0.081346752;0.030187967;0.009292728;0.021581085;0.08093841;0.030393314;-6.02321;-1.76778;4.47282;0.677617;0.0359774
2S3;Resting;0.007764093;0.012516312;0.062456801;0.020256504;0.007107789;0.013438782;0.080843657;0.019115293;0.00682464;0.015206905;0.106298154;0.019475413;0.006194634;0.010245765;0.05496638;0.017310072;0.004973527;0.008263834;0.05034668;0.014521704;0.009329592;0.017740179;0.125151647;0.029049942;0.008055437;0.012714694;0.079635916;0.026803619;-7.71812;-8.00153;7.33876;-3.8611;-5.21353
2S4;Resting;0.023255999;0.020054514;0.045923214;0.015566957;0.025120391;0.021801345;0.060502225;0.019014492;0.029626633;0.027082951;0.104121653;0.027475515;0.010842441;0.013123763;0.051155568;0.012579903;0.012549161;0.011994349;0.06832387;0.013997385;0.022604812;0.01935942;0.09215899;0.022920847;0.015940931;0.014529308;0.077165768;0.01837786;-0.491466;-5.28236;5.1799;-5.36968;-3.42518
2S5;Resting;0.005013728;0.00664728;0.065989865;0.015350399;0.006103417;0.007870734;0.102375906;0.016841981;0.005719019;0.010720453;0.165489643;0.020155521;0.00468612;0.006562915;0.079185618;0.017066163;0.004742755;0.006697074;0.108420634;0.018482316;0.006073744;0.008251831;0.099011452;0.017509493;0.004866356;0.006987545;0.071902977;0.016593871;-8.79673;-10.7462;11.5307;-5.82198;-7.07138
2S6;Resting;0.012944417;0.01984613;0.046201583;0.039576833;0.014124228;0.020682863;0.050967252;0.042085986;0.014249894;0.022869862;0.054022794;0.046667217;0.018783859;0.024086616;0.045282893;0.036044647;0.016427789;0.022747217;0.054716137;0.034074148;0.009635624;0.020949481;0.058226511;0.038826302;0.012476471;0.02312151;0.059549143;0.036804315;-3.72658;-3.08927;1.39115;5.05303;-0.497161
