Subject;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S35;Resting Open;0.013221543;0.009356044;0.004253592;0.010007943;0.047343729;0.041607499;0.016128152;0.033811318;0.33382592;0.249572107;0.080457105;0.157731729
S36;Resting Open;0.006194246;0.006967581;0.009906018;0.011439266;0.041715821;0.03516797;0.060391811;0.028164526;0.248011306;0.190332567;0.266413412;0.091485138
S3;Resting;0.009603331;0.01049631;0.021766945;0.032017288;0.021311493;0.026790373;0.056326602;0.097430192;0.083247387;0.088513093;0.207671436;0.342243345
S5;Resting;0.004737521;0.006531984;0.041419063;0.028535292;0.014885321;0.017417547;0.105217585;0.075863252;0.071565072;0.074090259;0.326847015;0.23109961
S6;Resting;0.004962861;0.00855661;0.041029662;0.013324857;0.009755708;0.022585806;0.118601195;0.051578943;0.0375493;0.079766671;0.412846701;0.193513285
S10;Resting;0.00284779;0.006527636;0.045808467;0.006548072;0.009388465;0.014561255;0.137557693;0.026312697;0.049007967;0.06036522;0.524517022;0.112696049
S14;Resting;0.008959638;0.01037674;0.04282063;0.010563009;0.020674614;0.020964498;0.110345196;0.033387273;0.073716623;0.073449957;0.432301986;0.159214937
S15;Resting;0.002525223;0.005744762;0.053800491;0.00892976;0.004967415;0.012710172;0.15186514;0.02754013;0.02284573;0.049289473;0.562091721;0.095773251
S16;Resting;0.010626859;0.012927934;0.0418476;0.013468487;0.014113667;0.025359846;0.11554525;0.045137433;0.041614851;0.084182865;0.429045487;0.160864286
S21;Resting;0.011982843;0.020463739;0.015689949;0.016216511;0.024308114;0.038190596;0.051837581;0.062166417;0.126243332;0.137553516;0.194916153;0.29206799
S22;Resting;0.013751014;0.015765105;0.037655159;0.051565742;0.018410112;0.022830148;0.103871419;0.075580466;0.073910828;0.063366393;0.338419177;0.173872209
S23;Resting;0.007579319;0.007159861;0.062237364;0.009587316;0.012981128;0.016005237;0.150306098;0.034473489;0.033260758;0.056198371;0.503583607;0.101386332
S24;Resting;0.004780743;0.004239337;0.048331298;0.003624238;0.006641106;0.005769961;0.157020037;0.010422993;0.025526891;0.025813075;0.661172538;0.045843239
S27;Resting;0.001662668;0.002680347;0.013375021;0.004337897;0.004517662;0.012706779;0.121144136;0.011751218;0.021012899;0.06728356;0.689072757;0.049733446
S28;Resting;0.008127316;0.007008487;0.016048869;0.005440213;0.010751468;0.014909264;0.099270832;0.019287126;0.042385075;0.06571928;0.608979694;0.101201101
S29;Resting;0.001488676;0.00197371;0.01959371;0.00455784;0.004567849;0.008333435;0.138386699;0.016072087;0.017732211;0.040697728;0.684758416;0.061104445
S30;Resting;0.004899939;0.007512492;0.017489003;0.01498129;0.022022845;0.032451675;0.065560196;0.060024876;0.068081482;0.154127923;0.306660109;0.243977261
S32;Resting;0.00196603;0.004579393;0.018519325;0.005213848;0.007434282;0.017440235;0.111239388;0.020194898;0.037636866;0.097957138;0.587118574;0.089047656
S33;Resting;0.002079968;0.003774471;0.015535281;0.00938941;0.006641069;0.016109767;0.094918643;0.047904402;0.02860608;0.069301526;0.478401849;0.223108279
S34;Resting;0.001942137;0.003136529;0.031710936;0.003809251;0.004458049;0.008966884;0.150767842;0.013430535;0.021553316;0.044143077;0.662961266;0.052359724
S35;Resting;0.012058261;0.010299634;0.007891102;0.01176731;0.036382505;0.048765213;0.024357014;0.040777601;0.243524619;0.249246748;0.124157108;0.186168273
S36;Resting;0.000978606;0.003293983;0.013356294;0.001631977;0.004292124;0.018374783;0.108661998;0.00727376;0.025289651;0.114608505;0.668508143;0.033490747
S3;Dots;0.049374564;0.027671267;0.012645962;0.019514573;0.06891415;0.046876329;0.032120906;0.056040462;0.180790892;0.167532009;0.127695948;0.20746108
S5;Dots;0.036481634;0.022850364;0.031974082;0.021434172;0.039054771;0.027615558;0.075078899;0.072531055;0.092140881;0.085692925;0.236427358;0.250288054
S6;Dots;0.007711827;0.00975214;0.007626874;0.048181974;0.020617322;0.027884341;0.034841016;0.182485893;0.040858518;0.081823024;0.120082048;0.39878587
S10;Dots;0.03107971;0.029014502;0.016807903;0.014013568;0.037229273;0.051051385;0.04735688;0.050295142;0.135296807;0.172046954;0.19194495;0.220130564
S14;Dots;0.010847112;0.014080137;0.015594177;0.021473942;0.022561702;0.028692261;0.056237749;0.090680697;0.095001987;0.120471373;0.18315503;0.328270969
S15;Dots;0.009108354;0.021030574;0.024135305;0.014797584;0.017419878;0.034380898;0.06622329;0.043480629;0.077474246;0.139210348;0.344997212;0.201777314
S16;Dots;0.032130179;0.027399038;0.015652747;0.017591096;0.037315969;0.055785833;0.044099487;0.071308386;0.117529745;0.179518316;0.145440319;0.249352019
S21;Dots;0.047989878;0.033145825;0.012379918;0.013251959;0.062266666;0.056034958;0.032548804;0.047447816;0.152354397;0.175181809;0.134622067;0.226867132
S22;Dots;0.030474229;0.029162504;0.014266572;0.063224587;0.040610022;0.041771248;0.036941425;0.101938585;0.114129967;0.125371652;0.127441601;0.248555211
S23;Dots;0.012708669;0.019961678;0.017244611;0.022978866;0.025234644;0.049246551;0.044934839;0.086287331;0.093583957;0.171605812;0.165001737;0.279580337
S24;Dots;0.022666031;0.024139718;0.012017103;0.011425943;0.053362652;0.059960116;0.030895645;0.032115554;0.202552569;0.270776828;0.124781923;0.151305061
S27;Dots;0.007899155;0.011690325;0.007475792;0.010114446;0.02034713;0.066424536;0.037411204;0.029486081;0.095500474;0.374794988;0.207981354;0.127007276
S28;Dots;0.014411084;0.015066358;0.010533238;0.006936869;0.037671752;0.046668539;0.044871596;0.030018201;0.186482831;0.226478479;0.219605535;0.158789194
S29;Dots;0.012232759;0.011252034;0.009035731;0.017226506;0.045545634;0.041031886;0.029891165;0.044730648;0.289328082;0.202975245;0.131470367;0.161570619
S30;Dots;0.007285636;0.009722333;0.008728079;0.016328956;0.037057736;0.039661501;0.038206728;0.064446778;0.167213396;0.14464366;0.171162896;0.289282413
S32;Dots;0.010668765;0.013766757;0.011441003;0.013460553;0.02206839;0.038776717;0.044769216;0.049552563;0.141607463;0.200417743;0.22760677;0.223431257
S33;Dots;0.009494127;0.009909483;0.007619818;0.015695257;0.028069442;0.029746723;0.023316282;0.052262612;0.163288857;0.204927352;0.143418312;0.307286756
S34;Dots;0.006462435;0.009707002;0.019056239;0.011814351;0.015806977;0.030722381;0.068647337;0.038021459;0.090117419;0.167650893;0.394255972;0.144299559
S35;Dots;0.012239569;0.008034417;0.003345311;0.006762947;0.045533083;0.037110529;0.013562842;0.023993882;0.423290921;0.239317802;0.073598661;0.110755622
S36;Dots;0.003281159;0.005039704;0.010778642;0.004548353;0.012937119;0.033739197;0.080070172;0.018147389;0.077819512;0.206636274;0.465012347;0.080637019
